Strategy,CAGR,Volatility,Sharpe (Rf=6%),Sortino,Max Drawdown,CAPM Beta,Annual Alpha,Alpha t-stat
"Novy-Marx r(12,7) EW [Gross]",0.2451816246662195,0.23071384138650583,0.823889868236449,0.7889758018012648,-0.3260485145882776,1.1060859163892836,0.14096908168816347,2.8349283046676663
"Novy-Marx r(12,7) EW [Net Costs]",0.22726744790780162,0.23030886444647175,0.7610273522372587,0.7202070065116498,-0.3277905186186401,1.1042674403442292,0.12447137288164511,2.528042016408818
"Novy-Marx r(12,7) EW [Net Tax & Costs]",0.09170464293620828,0.230106170622866,0.24737932208733743,0.23625082618001325,-0.37516861633055004,1.1016591608723512,-0.0003239112288018209,-0.007340780706609932
"Novy-Marx r(12,7) IVW [Net Tax & Costs]",0.07947141256047185,0.21975302622632722,0.19712066312610052,0.19170557737597313,-0.380657627743501,1.0501860821632323,-0.011196942345836014,-0.2577135761041949
"Standard r(12,2) EW [Net Tax & Costs]",0.1894806262205928,0.24586549924668302,0.5976049321232423,0.5873782852136226,-0.3043713853094343,1.1692616801309126,0.08965605923602316,1.8508733403037705
"Recent r(6,2) EW [Net Tax & Costs]",0.13242433870997128,0.23343155840799729,0.4035345355968011,0.36237832062366265,-0.3075005759958679,1.0699172230997311,0.03928995292416482,0.8647092453799421
NIFTY Benchmark,0.09967019848392034,0.17148263727926888,0.3030322688407474,0.3055593929815816,-0.293439192173215,0.9999999999999997,0.0,0.05668821593606574
